MarkMonitor Information Technology (Shanghai) Co.. Ltd., 4,qq.com,sogou.com,huawei.com,wechat.com,
Network Solutions. LLC, 4,gtld-servers.net,nstld.com,mediatek.com,twnic.net,
MarkMonitor. Inc., 24,baidu.com,google.com,jdcache.com,awsdns-13.com,awsdns-13.net,nease.net,sohu.com,dynect.net,googledomains.com,akam.net,azure-dns.info,ksyuncdn.com,kingclouddns.com,akadns.net,netease.com,charlestonroadregistry.com,akamaiedge.net,awsdns-37.com,msedge.net,hao123.com,yahoo.com,akamaitech.net,awsdns-31.com,awsdns-43.net,
Alibaba Cloud Computing (Beijing) Co.. Ltd., 33,alidns.com,aliyun.com,taobao.com,bytedns.com,hichina.com,alibabadns.com,chinanetcenter.com,alipay.com,youku.com,iqiyi.com,xunlei.net,xycdn.net,ucweb.com,ppstream.com,ccb.com,idnscloud.com,yunfandns.com,cdngslb.com,qtlgslbcn.info,qtlcdncn.info,cibntv.net,queniudns.com,ugslb.com,huyatvns.com,vip.com,queniudns.net,71edge.com,yylivens.com,alipaydns.com,bsgslb.com,koowo.com,didiwuxian.com,yodao.net,
DNSPod. Inc., 9,dnsv5.com,dnsv5.net,dnspod.net,dnsv2.com,dnsv2.net,dnsv4.com,dnsv4.net,dnsv3.com,dnsv3.net,
北京新网数码信息技术有限公司, 4,dns.cn,huaweicloud-dns.cn,cmmobile.cn,huawei.cn,
Xiamen 35.Com Technology Co.. Ltd, 2,cernet.net,eastday.com,
MarkMonitor Inc., 15,jd.com,kscdns.com,awsdns-57.org,166.com,azure-dns.com,azure-dns.net,azure-dns.org,awsdns-38.org,awsdns-49.net,awsdns-37.org,3.cn,intel.com,awsdns-08.org,awsdns-35.net,awsdns-13.org,
GoDaddy.com. LLC, 9,360safe.com,lacnic.net,lactld.org,ultradns.com,ultradns.net,ultradns.org,ultradns.biz,hdslb.net,startcomca.net,
No registrar listed.  This domain is directly registered with Nominet., 2,co.uk,nic.uk,
None, 15,afilias-nst.info,com.cn,udel.edu,upenn.edu,com.tw,net.tw,dns.tw,net.cn,nic.tv,jomodns.com,ultradns.info,nic.news,baicdnx.com,nist.gov,awsdns-39.com,
CSC Corporate Domains. Inc., 2,afilias-nst.org,afilias-nst.asia,
Key-Systems GmbH, 3,baidubce.com,pch.net,bdydns.com,
阿里云计算有限公司（万网）, 6,uc.cn,ksycdn.cn,bsgslb.cn,solocdn.cn,yunfandns.cn,chinanet.cn,
Key-Systems, 1,bdydns.cn,
Xin Net Technology Corporation, 7,hwclouds-dns.net,hwclouds-dns.com,huaweicloud-dns.com,huaweicloud-dns.net,cnmobile.net,sina.com,jdjrdns.com,
CSC CORPORATE DOMAINS. INC., 4,apple.com,edu-servers.net,gov-servers.net,as48447.net,
Beijing Sanfront Information Technology Co.. Ltd, 1,huaweicloud-dns.org,
Hu Yi Global Information Hong Kong Limited, 1,pa18.com,
EURid vzw, 1,dns.eu,
TUCOWS. INC., 14,everett.org,dynamicnetworkservices.net,iecc.com,akagtm.org,lxdns.org,lxdns.info,cdn30.org,iom.com,wsdvs.info,wsdvs.org,cdn20.info,cdn20.org,speedws.info,speedws.org,
Google LLC, 1,sf-bay.org,
doMEn reserved, 1,nic.me,
Name.com. Inc., 3,apnic.net,APNIC.net,nsone.net,
Name SRS AB, 1,dnsnode.net,
GANDI SAS, 2,ripe.net,afrinic.net,
GKG.NET. INC., 2,arin.net,ARIN.net,
NIC Chile, 1,nic.cl,
ExcedoNetworksAB, 1,netnod.se,
CIRA Default Registrar, 2,d-zone.ca,ca-servers.ca,
CoreRegistry 2, 1,ns.se,
Xiamen 35.Com Technology Co.. Ltd., 1,kugou.net,
Wild West Domains. LLC, 2,dnsmadeeasy.com,domaincontrol.com,
BEIJING SANFRONT INFORMATION TECHNOLOGY CO.. LTD, 2,abchina.com,cebbank.com,
Donuts Internal (9999), 2,nic.io,nic.services,
Bizcn.com.Inc., 1,jomoxc.com,
Internet Domain Name System Beijing Engineering Research Center LLC, 1,zdnscloud.biz,
Internet Domain Name System Beijing Engineering Research Center LLC (ZDNS), 4,zdnscloud.com,zdnscloud.info,zdnscloud.net,cmbchina.com,
Registry Services. LLC, 1,gtld.biz,
中企动力科技股份有限公司, 1,boc.cn,
Beijing Guoxu Network Technology Co. LTD, 1,bankcomm.com,
NOM-IQ Ltd dba Com Laude, 2,o365filtering.com,ja.net,
RU-CENTER-RU, 1,huaweicloud-dns.ru,
Regional Network Information Center. JSC dba RU-CENTER, 1,ripn.net,
https://www.101domain.com/, 1,desec.io,
Vautron Rechenzentrum AG, 1,desec.org,
SURF B.V., 1,surfnet.nl,
PDR Ltd. d/b/a PublicDomainRegistry.com, 2,surf.net,cloudns.net,
Stichting Internet Domeinregistratie Nederland, 1,dns.nl,
Charleston Road Registry Billable, 1,zdns.google,
Cloudflare. Inc., 1,cloudflare.com,
eName Technology Co..Ltd., 1,awsdns-cn-40.net,
eName Technology Co.. Ltd., 6,awsdns-cn-52.biz,awsdns-cn-60.com,sankuai.com,ctrip.com,163img.com,dnspai.com,
厦门易名科技股份有限公司, 1,awsdns-cn-59.cn,
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn), 1,tl88.net,
商中在线科技股份有限公司, 1,ctdns.cn,
EuroDNS S.A., 1,globalsigndns.com,
TLD Registrar Solutions Ltd, 1,nic.la,
Internet Domain Service BS Corp, 2,centralnic-dns.com,centralnic.net,
22NET. INC., 1,myhexin.com,
北京中科三方网络技术有限公司, 1,cstnet.cn,
SHANGHAI BEST ORAY INFORMATION S&T CO.. LTD., 1,oray.com,
NameCheap. Inc., 1,infinideas.com,
REG-CZNIC, 1,anycastdns.cz,
PSI-USA. Inc. dba Domain Robot, 1,rcode0.net,
REG-MOJEID, 1,nic.cz,
GoDaddy Online Services Cayman Islands Ltd., 2,uniregistry.info,uniregistry.net,
阿里巴巴云计算（北京）有限公司, 1,ctadns.cn,
BRS Media Inc., 1,nic.fm,
SafeNames Ltd., 2,gcdn.services,gcorelabs.net,
